Profile Name,Start Time,Duration,Attributes,Title,Supplemental Video Type,Device Type,Bookmark,Latest Bookmark,Country
Akki4A,11/7/2020 16:01,0:00:59,Autoplayed: user action: None; ,Friends: Season 6: The One with Mac and C.H.E.E.S.E (Episode 20),,Chrome PC (Cadmium),0:00:59,0:00:59,IN (India)
Akki4A,11/7/2020 15:35,0:18:18,,Friends: Season 6: The One with Joey's Fridge (Episode 19),,Chrome PC (Cadmium),0:21:39,0:21:39,IN (India)
Akki4A,11/7/2020 15:27,0:07:27,,Unbroken,,Chrome PC (Cadmium),0:07:27,0:07:27,IN (India)
Akki4A,11/7/2020 15:22,0:00:36,Autoplayed: user action: None; ,Just Go With It_hook_primary_16x9,HOOK,Chrome PC (Cadmium),0:00:00,0:00:00,IN (India)
Akki4A,11/6/2020 8:21,0:02:56,Autoplayed: user action: None; ,Friends: Season 6: The One with Joey's Fridge (Episode 19),,Chrome PC (Cadmium),0:03:21,Not latest view,IN (India)
Akki4A,11/6/2020 8:07,0:09:00,,Friends: Season 6: The One Where Ross Dates a Student (Episode 18),,Chrome PC (Cadmium),0:21:51,0:21:51,IN (India)
Akki4A,11/6/2020 8:06,0:00:06,Autoplayed: user action: None; ,The Hangover_hook_primary_16x9,HOOK,Chrome PC (Cadmium),0:00:06,0:00:06,IN (India)
Akki4A,11/5/2020 18:02,0:24:46,,Jobs,,Apple iPhone 6s,2:00:14,2:00:14,IN (India)
Akki4A,11/5/2020 14:47,1:23:01,,Jobs,,Chrome PC (Cadmium),1:34:58,Not latest view,IN (India)
Akki4A,11/5/2020 13:57,0:12:07,,Jobs,,Chrome PC (Cadmium),0:12:07,Not latest view,IN (India)
Akki4A,11/5/2020 13:55,0:00:13,Autoplayed: user action: None; ,The Hangover_hook_primary_16x9,HOOK,Chrome PC (Cadmium),0:00:13,Not latest view,IN (India)
Akki4A,11/5/2020 6:54,0:12:23,Autoplayed: user action: None; ,Friends: Season 6: The One Where Ross Dates a Student (Episode 18),,Chrome PC (Cadmium),0:12:51,Not latest view,IN (India)
Akki4A,11/5/2020 6:35,0:16:22,,Friends: Season 6: The One with Unagi (Episode 17),,Chrome PC (Cadmium),0:21:52,0:21:52,IN (India)
Akki4A,11/4/2020 14:58,0:04:57,,Friends: Season 6: The One with Unagi (Episode 17),,Apple iPhone 6s,0:05:30,Not latest view,IN (India)
Akki4A,11/4/2020 14:33,0:21:48,,Friends: Season 6: The One That Could Have Been: Part 2 (Episode 16),,Apple iPhone 6s,0:21:49,0:21:49,IN (India)
Akki4A,11/4/2020 14:28,0:01:24,,Friends: Season 6: The One That Could Have Been: Part 1 (Episode 15),,Apple iPhone 6s,0:21:49,0:21:49,IN (India)
Akki4A,11/4/2020 5:45,0:13:22,,Friends: Season 6: The One That Could Have Been: Part 1 (Episode 15),,Chrome PC (Cadmium),0:20:25,Not latest view,IN (India)
Akki4A,11/3/2020 14:51,0:06:36,,Friends: Season 6: The One That Could Have Been: Part 1 (Episode 15),,Apple iPhone 6s,0:07:03,Not latest view,IN (India)
Akki4A,11/3/2020 14:24,0:21:41,,Friends: Season 6: The One Where Chandler Can't Cry (Episode 14),,Apple iPhone 6s,0:21:56,0:21:56,IN (India)
Akki4A,11/3/2020 14:17,0:05:03,,Friends: Season 6: The One with Rachel's Sister (Episode 13),,Apple iPhone 6s,0:21:28,0:21:28,IN (India)
Akki4A,11/3/2020 6:50,0:07:16,,Friends: Season 6: The One with Rachel's Sister (Episode 13),,Chrome PC (Cadmium),0:16:24,Not latest view,IN (India)
Akki4A,11/2/2020 15:47,0:08:39,,Friends: Season 6: The One with Rachel's Sister (Episode 13),,Apple iPhone 6s,0:09:08,Not latest view,IN (India)
Akki4A,11/2/2020 15:31,0:07:59,,Friends: Season 6: The One with the Joke (Episode 12),,Apple iPhone 6s,0:21:52,0:21:52,IN (India)
Akki4A,11/2/2020 11:51,0:15:56,,Wake Up Sid,,Chrome PC (Cadmium),0:44:49,0:44:49,IN (India)
Akki4A,11/2/2020 11:49,0:01:08,Autoplayed: user action: None; ,Instant Family_hook_primary_16x9,HOOK,Chrome PC (Cadmium),0:00:00,0:00:00,IN (India)
Akki4A,11/2/2020 7:08,0:13:23,,Friends: Season 6: The One with the Joke (Episode 12),,Chrome PC (Cadmium),0:13:52,Not latest view,IN (India)
Akki4A,11/1/2020 11:23,0:00:07,Autoplayed: user action: None; ,Johnny English 3_hook_primary_16x9,HOOK,Apple iPhone 6s,0:00:07,0:00:07,IN (India)
Akki4A,11/1/2020 10:50,0:33:00,,Blood of Zeus: Season 1: War for Olympus (Episode 8),,Apple iPhone 6s,0:34:20,0:34:20,IN (India)
Akki4A,11/1/2020 10:18,0:30:28,,Blood of Zeus: Season 1: The Fields of the Dead (Episode 7),,Apple iPhone 6s,0:30:59,0:30:59,IN (India)
Akki4A,11/1/2020 9:48,0:29:03,,Blood of Zeus: Season 1: Back to Olympus (Episode 6),,Apple iPhone 6s,0:29:27,0:29:27,IN (India)
Akki4A,11/1/2020 8:17,0:00:14,,Blood of Zeus: Season 1: Back to Olympus (Episode 6),,Apple iPhone 6s,0:00:14,Not latest view,IN (India)
Akki4A,11/1/2020 7:54,0:22:48,,Blood of Zeus: Season 1: Escape or Die (Episode 5),,Apple iPhone 6s,0:23:01,0:23:01,IN (India)
Akki4A,11/1/2020 7:25,0:28:33,,Blood of Zeus: Season 1: A Monster is Born (Episode 4),,Apple iPhone 6s,0:28:43,0:28:43,IN (India)
Akki4A,11/1/2020 7:01,0:23:43,,Blood of Zeus: Season 1: The Raid (Episode 3),,Apple iPhone 6s,0:24:26,0:24:26,IN (India)
Akki4A,11/1/2020 6:33,0:28:16,,Blood of Zeus: Season 1: Past is Prologue (Episode 2),,Apple iPhone 6s,0:28:22,0:28:22,IN (India)
Akki4A,11/1/2020 6:26,0:06:11,,Blood of Zeus: Season 1: A Call to Arms (Episode 1),,Apple iPhone 6s,0:24:21,0:24:21,IN (India)
Akki4A,11/1/2020 6:05,0:21:16,,Friends: Season 6: The One with the Apothecary Table (Episode 11),,Apple iPhone 6s,0:21:48,0:21:48,IN (India)
Akki4A,11/1/2020 5:58,0:05:14,,Friends: Season 6: The One with the Routine (Episode 10),,Apple iPhone 6s,0:21:53,0:21:53,IN (India)
Akki4A,10/31/2020 15:02,0:16:15,,Friends: Season 6: The One with the Routine (Episode 10),,Apple iPhone 6s,0:16:38,Not latest view,IN (India)
Akki4A,10/31/2020 15:02,0:00:01,,Blood of Zeus: Season 1: A Call to Arms (Episode 1),,Apple iPhone 6s,0:18:10,Not latest view,IN (India)
Akki4A,10/31/2020 13:52,0:18:18,,Blood of Zeus: Season 1: A Call to Arms (Episode 1),,Apple iPhone 6s,0:18:08,Not latest view,IN (India)
Akki4A,10/31/2020 6:53,0:00:34,Autoplayed: user action: None; ,Friends: Season 6: The One with the Routine (Episode 10),,Chrome PC (Cadmium),0:00:34,Not latest view,IN (India)
Akki4A,10/31/2020 6:30,0:22:29,,Friends: Season 6: The One Where Ross Got High (Episode 9),,Chrome PC (Cadmium),0:22:33,0:22:33,IN (India)
Akki4A,10/30/2020 16:01,0:21:23,,Friends: Season 6: The One with Ross's Teeth (Episode 8),,Apple iPhone 6s,0:21:39,0:21:39,IN (India)
Akki4A,10/30/2020 13:04,0:00:02,Autoplayed: user action: None; ,Friends: Season 6: The One with Ross's Teeth (Episode 8),,Chrome PC (Cadmium),0:00:03,Not latest view,IN (India)
Akki4A,10/30/2020 12:46,0:15:43,,Friends: Season 6: The One Where Phoebe Runs (Episode 7),,Chrome PC (Cadmium),0:21:52,0:21:52,IN (India)
Akki4A,10/30/2020 5:38,0:05:43,Autoplayed: user action: None; ,Friends: Season 6: The One Where Phoebe Runs (Episode 7),,Chrome PC (Cadmium),0:06:09,Not latest view,IN (India)
Akki4A,10/30/2020 5:16,0:19:46,,Friends: Season 6: The One on the Last Night (Episode 6),,Chrome PC (Cadmium),0:21:52,0:21:52,IN (India)
Akki4A,10/30/2020 5:12,0:00:41,,Friends: Season 6: The One on the Last Night (Episode 6),,Chrome PC (Cadmium),0:02:06,Not latest view,IN (India)
Akki4A,10/29/2020 15:50,0:02:20,Autoplayed: user action: None; ,Trailer: Holidate,TRAILER,Chrome PC (Cadmium),0:00:00,0:00:00,IN (India)
Akki4A,10/29/2020 15:49,0:00:06,Autoplayed: user action: None; ,Trailer: A Suitable Boy,TRAILER,Chrome PC (Cadmium),0:00:06,0:00:06,IN (India)
Akki4A,10/29/2020 15:26,0:21:46,,Welcome,,Chrome PC (Cadmium),2:28:54,2:28:54,IN (India)
Akki4A,10/29/2020 15:26,0:00:12,Autoplayed: user action: None; ,Johnny English 3_hook_03_16x9,HOOK,Chrome PC (Cadmium),0:00:12,0:00:12,IN (India)
Akki4A,10/29/2020 9:30,0:01:44,Autoplayed: user action: None; ,Friends: Season 6: The One on the Last Night (Episode 6),,Chrome PC (Cadmium),0:01:45,Not latest view,IN (India)
Akki4A,10/29/2020 9:23,0:06:14,,Friends: Season 6: The One with Joey's Porsche (Episode 5),,Chrome PC (Cadmium),0:21:52,0:21:52,IN (India)
Akki4A,10/29/2020 5:08,0:07:31,,Friends: Season 6: The One with Joey's Porsche (Episode 5),,Chrome PC (Cadmium),0:15:38,Not latest view,IN (India)
Akki4A,10/28/2020 17:31,0:00:06,,Peaky Blinders: Season 5: Black Tuesday (Episode 1),,Apple iPhone 6s,0:50:18,0:50:18,IN (India)
